source_file,experiment_id,sample_index,cumulative_depth_cm,depth_cm,true_damage_level,true_damage_class,true_stress_mpa,true_stress_class,true_state_class,true_state_label,segment_index
VTEST_S40_1.csv,VTEST_S40,199,3.31667,3.31667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,200,3.33333,3.33333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,201,3.35,3.35,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,202,3.36667,3.36667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,203,3.38333,3.38333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,204,3.4,3.4,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,205,3.41667,3.41667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,206,3.43333,3.43333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,207,3.45,3.45,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,208,3.46667,3.46667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,209,3.48333,3.48333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,210,3.5,3.5,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,211,3.51667,3.51667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,212,3.53333,3.53333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,213,3.55,3.55,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,214,3.56667,3.56667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,215,3.58333,3.58333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,216,3.6,3.6,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,217,3.61667,3.61667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,218,3.63333,3.63333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,219,3.65,3.65,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,220,3.66667,3.66667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,221,3.68333,3.68333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,222,3.7,3.7,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,223,3.71667,3.71667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,224,3.73333,3.73333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,225,3.75,3.75,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,226,3.76667,3.76667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,227,3.78333,3.78333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,228,3.8,3.8,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,229,3.81667,3.81667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,230,3.83333,3.83333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,231,3.85,3.85,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,232,3.86667,3.86667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,233,3.88333,3.88333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,234,3.9,3.9,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,235,3.91667,3.91667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,236,3.93333,3.93333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,237,3.95,3.95,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,238,3.96667,3.96667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,239,3.98333,3.98333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,240,4.0,4.0,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,241,4.01667,4.01667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,242,4.03333,4.03333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,243,4.05,4.05,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,244,4.06667,4.06667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,245,4.08333,4.08333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,246,4.1,4.1,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,247,4.11667,4.11667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,248,4.13333,4.13333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,249,4.15,4.15,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,250,4.16667,4.16667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,251,4.18333,4.18333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,252,4.2,4.2,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,253,4.21667,4.21667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,254,4.23333,4.23333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,255,4.25,4.25,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,256,4.26667,4.26667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,257,4.28333,4.28333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,258,4.3,4.3,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,259,4.31667,4.31667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,260,4.33333,4.33333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,261,4.35,4.35,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,262,4.36667,4.36667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,263,4.38333,4.38333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,264,4.4,4.4,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,265,4.41667,4.41667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,266,4.43333,4.43333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,267,4.45,4.45,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,268,4.46667,4.46667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,269,4.48333,4.48333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,270,4.5,4.5,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,271,4.51667,4.51667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,272,4.53333,4.53333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,273,4.55,4.55,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,274,4.56667,4.56667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,275,4.58333,4.58333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,276,4.6,4.6,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,277,4.61667,4.61667,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,278,4.63333,4.63333,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,279,4.65,4.65,80,4,40,4,24,D80_S40,0
VTEST_S40_1.csv,VTEST_S40,280,4.66667,4.66667,80,4,40,4,24,D80_S40,0
